"mz","intensity","rt"
82.9544,85038,48
83.0366,27794,53
89.0248,532600,48
92.0504,440326,551
93.045,1597169,69
94.0296,53248,109
96.9605,1141855,713
96.9606,1181039,45
96.9605,297453,447
98.9488,1630574,52
100.9464,436687,51
100.961,10123,753
100.9673,34649,52
107.0373,38571,133
108.0223,174026,363
108.0459,10707,212
108.046,12702,530
109.0291,12589,209
109.04,102189,78
110.9763,39819,48
111.9475,632695,678
111.9476,73819,437
112.9855,10175,49
114.9349,118223,1171
117.0193,170158,49
117.0345,206284,661
117.0449,59075,198
117.929,1196739,1174
118.0406,51180,71
118.0401,32173,192
118.9244,306641,56
119.0499,1038845,156
119.05,266841,597
119.05,2048636,54
120.0529,45868,176
120.0528,96353,54
121.0289,6362772,233
122.0245,13281,151
122.0332,123529,233
122.0375,40194,457
122.969,6308702,705
122.9689,1038355,67
122.9693,9594495,1143
122.9688,3437446,450
122.9687,1560674,245
123.9686,362811,1141
123.9684,74549,695
124.9662,96143,1142
124.9914,35834,51
125.0605,41414,52
125.0968,426839,252
126.0121,23892,751
126.9043,80325,51
127.0765,46518,53
128.0355,536519,47
129.0555,70269,54
130.0876,1463727,71
131.0349,66846,51
131.0708,14316,124
131.9157,63238,1089
133.0287,603514,842
133.0284,20061,617
134.0245,139909,531
134.0248,10454,143
134.0252,17013,739
134.8939,894181,1135
135.0316,13996,62
135.0454,1631776,265
135.0451,17534,105
136.0158,305153,279
136.04,39440,228
136.8913,184517,1142
137.0236,58146,294
137.0341,7860516,70
137.0241,2388473,183
138.0197,8900192,365
138.0271,59798,82
138.027,89473,170
138.0385,136276,53
138.2053,33499,364
139.0223,305803,357
141.0916,202936,181
141.0918,40758,54
141.1283,61075,434
143.0711,62137,82
143.107,13383,388
143.1076,450407,544
143.1079,76290,305
144.045,719856,176
144.0449,2226918,336
144.9657,14366,59
145.0301,12840,633
145.0499,2384114,53
145.0499,1975232,849
145.0487,37277,323
145.0865,1988844,203
146.0248,9115639,250
146.0537,11394,52
146.0896,23314,214
147.0282,475036,249
147.0443,570403,328
147.0809,80331,1021
148.9523,67224,51
149.0247,26040,843
150.0012,5800905,384
150.0311,24428,230
150.0557,1126016,128
150.2496,18992,141
151.0036,127092,385
151.0398,668066,260
