"mz","intensity","rt"
78.9595,4455,170
78.9595,10082,432
78.9595,2394,57
78.9596,4000,377
78.9597,14959,46
79.9571,16017,421
79.9573,6804,169
79.9573,4327,294
79.9574,6977,149
79.9574,2805,265
79.9575,4185,280
79.9576,2672,271
79.958,4019,74
90.0354,78827,103
92.928,2280,12
93.0345,8416,51
93.0349,7884,66
94.03,48139,40
95.9162,8174,161
96.9595,12083,355
96.9596,1109,123
96.9596,13467,37
96.9597,1308,157
96.9597,31305,324
96.9597,244030,40
96.9597,20272,171
96.9597,14839,908
96.9598,11810,338
96.9598,44657,276
96.9598,16215,442
96.9598,22106,464
96.9598,5048,256
96.9598,3746,772
96.9598,17509,480
96.9598,0,921
96.9599,146312,42
96.9599,25471,146
96.9599,28598,419
96.9599,12246,978
96.9599,21520,295
96.9599,4726,700
96.9599,5161,105
96.9599,3456,285
96.9599,8389,10
96.9599,88317,512
96.9599,4014,410
96.9599,0,914
96.96,11964,241
96.96,3848,395
96.96,61667,31
96.96,23376,56
96.96,197489,906
96.96,18763,379
96.9601,47702,536
96.9601,10258,475
96.9601,9873,865
96.9601,3625,198
96.9601,6031,179
96.9601,38782,415
96.9601,8955,500
96.9602,10170,910
96.9602,12188,433
96.9602,1805,71
96.9602,0,910
96.9602,10055,799
96.9603,0,913
96.9603,0,911
96.9603,82303,44
96.9603,12264,470
96.9604,3783,564
96.9604,114744,133
96.9605,54636,50
96.9605,25661,89
96.9606,131280,165
98.9555,5903,166
98.9564,3083,130
98.9566,12377,41
99.9255,3804,978
99.9256,20901,908
104.0504,29364,174
108.021,3502,66
108.0214,3776,82
110.9757,4886,17
111.0088,27396,52
111.9466,14778,75
111.9466,3506,119
111.9467,6372,52
111.9468,6357,33
111.9469,9965,295
111.947,20192,426
111.947,20400,146
111.9471,32684,40
111.9471,12853,267
111.9473,27928,414
111.9473,17458,169
111.9473,13419,284
111.9473,14216,329
111.9473,8519,514
111.9475,5309,130
112.9366,66099,7
112.9857,5445,39
116.9262,4117,86
116.9262,3092,103
116.9262,3302,5
116.9267,0,306
116.9273,7798,127
116.928,0,7
116.9281,0,2
116.9282,0,8
116.9282,0,907
116.9282,11584,910
116.9282,0,5
116.9282,0,10
116.9282,5473,23
116.9283,0,912
116.9283,15511,976
116.9283,41358,903
116.9283,0,14
116.9283,15515,909
116.9283,12070,799
116.9283,10092,864
116.9284,0,907
116.9284,120772,906
116.9285,0,921
116.9302,3334,321
117.0342,8372,78
117.0344,4749,148
117.0345,14457,84
117.0345,2813,204
117.0347,273104,254
117.035,80382,230
118.0298,7900,126
118.0372,1500497,101
118.0384,3302,231
118.2123,18400,103
119.0441,36932,106
119.05,6311,26
119.0501,118183,78
121.0291,4803,870
121.0292,3394,256
121.0292,7202,908
121.0293,3512,831
121.0294,2081751,68
121.0295,1285168,98
121.0298,3286,895
121.2031,41292,68
121.2034,3070,111
122.0244,13859,34
122.0371,3353,626
124.0164,3517,122
125.0242,5336,295
125.0243,9583,274
125.0245,4460,45
125.0971,3125,141
126.9043,3967,460
126.9048,44366,167
126.9048,9125,133
127.001,24850,40
127.0011,12505,22
128.8925,3167,40
130.889,3372,39
131.915,14355,908
131.9151,4283,978
132.0566,1429863,174
132.0566,4805,278
132.2377,16991,175
132.9225,3475,978
132.9226,17442,908
133.0147,6666,51
133.029,26831,203
133.0291,10179,272
133.0292,5460,145
133.0292,12518,82
134.0244,13135,89
134.0346,2834,203
134.0364,3801,81
134.0471,4327,52
135.0086,9983,224
135.0443,189569,89
135.0449,26851,40
135.0449,12759,138
135.0449,2730,128
135.045,8070,111
136.0161,39226,121
136.0165,174141,74
136.0478,10554,89
136.8914,4044,5
137.0222,4609,142
137.0242,28253,53
137.0242,2337646,74
137.0243,86968,86
137.0246,407162,63
137.2087,13411,76
138.0199,37772,40
138.0201,7860,143
138.9706,3429,402
138.9707,58587,333
138.9707,5556,391
141.0164,19926,22
141.0165,6221,908
141.0165,2997,798
141.0165,22396,49
141.0166,3718,864
141.0921,45641,115
143.0498,3702,306
143.1058,3138,305
143.1077,20194,247
143.1083,653770,265
143.901,9628,75
144.0448,31349,138
144.0449,131083,168
144.0453,20202,51
144.0454,252496,131
144.0455,2813,44
144.0456,130951,149
144.0456,174423,155
144.0456,1726898,159
144.0457,128751,46
144.0458,62134,151
144.1115,21050,277
144.8691,78813,8
145.0288,14184,83
145.029,73685,252
145.0293,32740,230
145.0481,12183,129
145.0866,19070,91
146.0248,3338,70
146.867,152077,9
147.0297,3728,57
147.0323,3716,134
147.0324,9097,109
147.0447,2640,156
147.0454,101700,119
148.0396,14546,133
148.0398,2074,243
148.0399,4822,220
148.0401,5370,163
148.044,17513,113
148.0529,5118,415
148.8636,66671,8
148.9916,11503,37
149.0088,5932,801
149.0102,9392,781
149.0241,9068,54
149.0242,4764,141
149.0244,14097,122
149.0595,4602,449
149.0601,3800,509
149.0604,3697,305
149.0608,26109,122
149.0609,27734,73
149.0609,33268,185
149.0973,4165,376
150.002,9150,308
150.0023,28005,54
150.0311,11493,110
150.0431,3497,39
150.0558,11943,142
150.0635,3297,75
150.9822,9039,98
150.9823,6189,3
150.9826,4034,140
151.0392,26810,187
151.0392,12894,188
151.0394,5266,340
151.0397,296205,185
151.0397,15538,66
151.0397,42935,131
151.0398,13375,388
151.0398,100871,193
151.0398,42835,177
151.0398,8541,195
151.04,399023,169
151.04,99627,83
151.0401,10943,36
151.0401,126637,77
151.0401,281532,160
151.0402,50553,182
151.0402,1872,53
151.041,23379,413
151.0432,19085,88
151.0762,4831,380
151.0765,29989,410
152.0111,3620,100
152.0112,6329,68
152.0114,10070,85
152.0352,29774,41
152.0353,6144,56
152.0432,19063,157
152.0433,8338,77
152.0437,3205,183
152.872,7230,49
152.9364,1306,13
153.0191,24544,225
153.0191,7676,60
153.0195,26609,76
153.1284,48773,376
154.0629,4237,381
154.0632,12316,400
154.0632,13114,261
154.0639,9391,321
154.8684,4292,50
154.8983,5177,18
154.9896,4093,117
155.0713,3286,574
156.8951,2240,19
157.0868,14344,134
157.0869,4023,93
157.0869,26337,80
157.1228,5641,257
157.1231,6930,341
157.1232,3582,367
157.1233,21997,309
157.1233,21488,220
157.8623,2755,51
158.8464,21445,22
158.9781,1915,1004
158.9783,4120,816
158.9784,3979,928
159.0454,9269,269
159.0845,45950,834
159.1018,5799,118
159.1021,28505,41
159.1023,3154,143
159.1023,13300,158
159.8455,9371,43
159.8456,37442,7
160.0402,16590,149
160.0403,201336,65
160.0404,31211,63
160.0405,45266,60
160.0405,93380,54
160.0406,9246,37
160.0407,41323,45
160.0408,7273,89
160.8411,203558,18
160.8413,398833,28
160.8413,550125,8
160.9447,6306,24
160.9561,4639,111
160.9763,2851,937
160.9769,3638,90
161.0234,16502,95
161.0242,3413,141
161.0247,13888,203
161.0599,10722,150
161.0603,4791,215
161.0968,2343,301
161.842,7784,44
162.0191,4242,54
162.0195,14152,83
162.032,9596,132
162.8377,3553,180
162.8385,424929,27
162.8387,224151,18
162.8388,773298,8
162.9408,5488,24
163.0071,2125,55
163.0071,14622,314
163.0105,150659,39
163.0353,13962,132
